"Issue Type","Epic Name","Epic Link","Summary","Description","Acceptance Criteria","Story Points","Priority","Labels","Component","Sprint","Assignee Role"
"Story","","Camada de Dados PPT","Implementar motor de oportunidade de positivacao","Fan-out da janela de 3 meses, anti-join do mes alvo, media U3M, dias sem comprar e score de prioridade.","QA-40 a QA-43 verdes; score entre 0 e 100; faixa coerente.","8","Highest","dados;oportunidade","Qlik","Sprint 3","Eng. de Dados"
"Story","","Camada de Dados PPT","Implementar motor de recomendacao de SKU Hero","Ranking de penetracao por regiao/categoria/canal, historico do PDV e fallback regional. Uma linha por categoria faltante.","QA-44 a QA-47 verdes; SKU sempre da categoria e da composicao correta.","8","Highest","dados;hero;oportunidade","Qlik","Sprint 3","Eng. de Dados"
"Story","","Camada de Dados PPT","Implementar motor de recuperacao de volume","PDVs que compraram abaixo da propria media U3M, com corte parametrizavel e cobertura do gap de volume.","QA-48 e QA-49 verdes; corte de 20% respeitado.","5","High","dados;oportunidade","Qlik","Sprint 4","Eng. de Dados"
"Story","","Camada de Dados PPT","Publicar medidas e dimensoes mestre versionadas","Deploy idempotente a partir de qlik/master-items/*.json, com distincao explicita entre medida oficial e dinamica.","Rodar o deploy duas vezes nao duplica item; QA-05 verde.","5","High","dados;governanca","Qlik","Sprint 4","Eng. de Dados"
"Story","","Camada de Dados PPT","Criar gerador de base sintetica deterministica","Base mock reproduzivel para DEV, UAT, demo e treinamento, sem depender de conexao corporativa.","Duas cargas consecutivas produzem numeros identicos; nenhum dado real derivavel.","8","Medium","dados;mock;qa","Qlik","Sprint 1","Eng. de Dados"
"Story","","Camada de Dados PPT","Congelar competencia paga e versionar auditoria","FlagMesFechado + QVD de auditoria por execucao; reprocessamento gera ajuste, nunca sobrescreve valor pago.","QA-92 e QA-93 verdes; variacao > 15% em mes fechado e sinalizada.","8","High","dados;auditoria;compliance","Qlik","Sprint 4","Arquiteto de Dados"
"Story","","Seguranca e Acesso","Implementar Section Access para as 5 personas","Reducao por DISTRIBUIDORID cobrindo distribuidor, executivo, coordenador, diretoria e admin.","QA-30 a QA-37 verdes; teste com uma conta real de cada persona.","8","Highest","seguranca","Qlik","Sprint 4","Arquiteto de Dados"
"Story","","Seguranca e Acesso","Implementar login OAuth2 Authorization Code + PKCE","Fluxo completo com validacao de state, token em cookie httpOnly e redirect pos-login relativo.","QA-71 e A8.5 verdes; nenhum segredo no bundle; open redirect bloqueado.","8","Highest","seguranca;frontend","Mashup","Sprint 4","Eng. Frontend"
"Story","","Seguranca e Acesso","Configurar Web Integration ID e CSP","Restringir origens permitidas e publicar a Content Security Policy no host do mashup.","Origem * ausente em PRD; CSP aplicada e sem violacao no console.","3","High","seguranca;infra","Mashup","Sprint 8","DevOps"
"Story","","Seguranca e Acesso","Mascarar base de UAT","Copia de 3 meses com CNPJ e razao social substituidos por valores sinteticos.","Nenhum CNPJ real em UAT; volumes preservados para teste de performance.","3","High","seguranca;lgpd","Qlik","Sprint 7","Eng. de Dados"
"Story","","Cockpit - Acompanhamento","Construir shell do mashup com filtros globais","Header, sidebar organizada por pergunta, barra de filtros globais e propagacao de selecao a todas as telas.","A1.8 e QA-64 verdes; navegacao por teclado funcional.","8","Highest","frontend;shell","Mashup","Sprint 4","Eng. Frontend"
"Story","","Cockpit - Acompanhamento","Tela 1 - cards de KPI com gap acionavel","Tres cards com atingimento, realizado/meta, marcas de degrau, frase de gap com valor em reais e indicador de projecao.","A1.1, A1.2, A1.3 e A1.7 verdes; QA-65 verde.","8","Highest","frontend;tela1","Mashup","Sprint 5","Eng. Frontend"
"Story","","Cockpit - Acompanhamento","Tela 1 - card de premiacao com dinheiro na mesa","Estimada, potencial, projetada, nao capturada e ganho do proximo degrau em uma leitura.","A1.4 verde.","5","Highest","frontend;tela1;premiacao","Mashup","Sprint 5","Eng. Frontend"
"Story","","Cockpit - Acompanhamento","Tela 1 - gauge de meta com degraus","Gauge com as quatro faixas do programa desenhadas no arco e marca de projecao.","A1.5 verde; rotulo de 100% legivel sem corte.","5","High","frontend;tela1;viz","Mashup","Sprint 5","Eng. Frontend"
"Story","","Cockpit - Acompanhamento","Tela 1 - radar dos tres KPIs","Radar com anel de 100% destacado, poligono de realizado e poligono tracejado de projecao.","A1.5 verde; rotulos fora do anel, sem sobreposicao.","5","Medium","frontend;tela1;viz","Mashup","Sprint 5","Eng. Frontend"
"Story","","Cockpit - Acompanhamento","Tela 1 - evolucao mensal com faixa premiada","Serie por KPI com faixa 90-100% sombreada e linha de meta destacada.","A1.6 verde.","5","High","frontend;tela1;viz","Mashup","Sprint 5","Eng. Frontend"
"Story","","Cockpit - Acompanhamento","Tela 1 - tabela de distribuidores","DataGrid com barra por KPI, premiacao, ganho do proximo degrau e chip de risco, ordenada por ganho.","A6.3 e QA-63 verdes.","5","High","frontend;tela1;tabela","Mashup","Sprint 5","Eng. Frontend"
"Story","","Cockpit - Acompanhamento","Tela 6 - cards executivos da carteira","Distribuidores ativos, premiacao projetada, em risco e Hero abaixo da meta.","A6.1 verde.","5","High","frontend;tela6","Mashup","Sprint 8","Eng. Frontend"
"Story","","Cockpit - Acompanhamento","Tela 6 - mapa regional da carteira","Pontos por distribuidor, cor por status de risco e tamanho por premiacao potencial.","A6.2 verde.","8","Medium","frontend;tela6;viz","Mashup","Sprint 8","Eng. Frontend"
"Story","","Cockpit - Acompanhamento","Tela 6 - ranking onde a visita rende mais","Top 5 por ganho ao cruzar o proximo degrau, com os tres atingimentos por linha.","A6.3 verde; ordenacao nao e por pior atingimento.","3","High","frontend;tela6","Mashup","Sprint 8","Eng. Frontend"
"Story","","Cockpit - Acompanhamento","Garantir responsividade ate 360 px","Sidebar em drawer, cards empilhados e rolagem horizontal contida nas tabelas.","QA-67 verde nas 6 telas.","5","High","frontend;ux;responsivo","Mashup","Sprint 8","Eng. Frontend"
"Story","","Cockpit - Execucao Comercial","Tela 2 - fila priorizada de positivacao","Tabela com PDV, canal, cidade, ultima compra, dias sem comprar, media U3M, volume em risco, valor e prioridade.","A2.1, A2.2 e A2.4 verdes.","8","Highest","frontend;tela2;acionavel","Mashup","Sprint 7","Eng. Frontend"
"Story","","Cockpit - Execucao Comercial","Tela 2 - cabecalho com gap e valor de recuperacao","Quatro metricas: PDVs a recuperar, criticos, volume em risco e quantos faltam para o degrau com valor em reais.","A2.3 verde.","3","High","frontend;tela2","Mashup","Sprint 7","Eng. Frontend"
"Story","","Cockpit - Execucao Comercial","Tela 3 - matriz batalha naval","Linhas de PDV, colunas de categoria Hero, celulas com simbolo e cor por esforco restante, filtros por status e busca.","A3.1, A3.2, A3.3, A3.4 e A3.6 verdes; QA-69 verde.","13","Highest","frontend;tela3;hero;acionavel","Mashup","Sprint 6","Eng. Frontend"
"Story","","Cockpit - Execucao Comercial","Tela 3 - drill ate SKU em painel lateral","Painel com situacao do mix, categorias faltantes e cartao de recomendacao com valor da conversao.","A3.5 verde.","8","Highest","frontend;tela3;hero","Mashup","Sprint 6","Eng. Frontend"
"Story","","Cockpit - Execucao Comercial","Tela 3 - paginacao para carteiras grandes","Carregamento incremental com contagem de linhas restantes.","A3.7 e QA-82 verdes com 900 PDVs.","5","High","frontend;tela3;performance","Mashup","Sprint 6","Eng. Frontend"
"Story","","Cockpit - Execucao Comercial","Tela 4 - cartoes de recomendacao de SKU","Cartao com o que o PDV tem, o que falta, SKU recomendado, motivo, volume estimado e valor da conversao.","A4.1, A4.4 e A4.5 verdes.","8","Highest","frontend;tela4;hero;acionavel","Mashup","Sprint 7","Eng. Frontend"
"Story","","Cockpit - Execucao Comercial","Tela 4 - simulacao viva do impacto da lista","Alerta recalculado a cada filtro dizendo para quanto o Mix Hero vai e se basta para o degrau.","A4.2 e A4.3 verdes; QA-66 verde (nunca promete acima de 100%).","5","Highest","frontend;tela4;insight","Mashup","Sprint 7","Eng. Frontend"
"Story","","Cockpit - Execucao Comercial","Tela 5 - ranking de recuperacao","Tabela com media U3M, volume do mes, queda absoluta e relativa, cobertura do gap, valor e prioridade.","A5.1 e A5.2 verdes.","5","High","frontend;tela5;acionavel","Mashup","Sprint 7","Eng. Frontend"
"Story","","Cockpit - Execucao Comercial","Tela 5 - card de cobertura do gap de volume","Barra e texto explicando quanto a recuperacao cobre do gap e quanto vale em reais.","A5.3 e A5.4 verdes.","3","High","frontend;tela5","Mashup","Sprint 7","Eng. Frontend"
"Story","","Motor de Recomendacoes","Implementar motor de recomendacoes puro e testavel","Funcao sem dependencia de React ou Qlik que recebe o estado do PPT e devolve frases acionaveis ordenadas por impacto.","A7.1 e A7.4 verdes; QA-61 com cobertura das 8 regras.","8","Highest","insight;regra","Mashup","Sprint 5","Eng. Frontend"
"Story","","Motor de Recomendacoes","Regra - premiacao em risco pela projecao","Alertar quando a projecao indica KPI fechando abaixo de 90%, somando o valor que sai da mesa.","A7.2 verde.","3","Highest","insight","Mashup","Sprint 6","Eng. Frontend"
"Story","","Motor de Recomendacoes","Regra - categoria Hero de maior alavanca","Identificar qual categoria destrava mais PDVs e quantas conversoes bastam para 100%.","A7.3 e QA-66 verdes.","5","Highest","insight;hero","Mashup","Sprint 6","Eng. Frontend"
"Story","","Motor de Recomendacoes","Regra - PDVs que pararam de comprar","Contar os PDVs sumidos, somar o volume historico e dizer quantos bastam para fechar o gap.","Texto cita quantidade, volume e complemento de gap.","3","High","insight","Mashup","Sprint 7","Eng. Frontend"
"Story","","Motor de Recomendacoes","Regra - ritmo necessario de volume por dia util","Converter o gap de volume em toneladas por dia util restante.","Texto cita gap, ritmo, dias restantes e valor.","3","High","insight","Mashup","Sprint 7","Eng. Frontend"
"Story","","Motor de Recomendacoes","Regra - reconhecimento de meta batida","Confirmar premiacao maxima e suprimir recomendacoes de gap inexistente.","A7.5 verde.","2","Medium","insight","Mashup","Sprint 7","Eng. Frontend"
"Story","","Motor de Recomendacoes","Painel de insights com destino de acao","Componente que renderiza por severidade, mostra impacto em reais e leva a tela onde a acao acontece.","A7.1 verde; nenhum insight sem destino quando ha acao possivel.","5","Highest","insight;frontend","Mashup","Sprint 5","Eng. Frontend"
"Story","","Qualidade e Operacao","Automatizar smoke de navegacao das 6 telas","Playwright percorrendo as telas na build de producao em modo mock, falhando em erro de runtime ou tela vazia.","QA-60 verde no pipeline.","5","High","qa;automacao","Mashup","Sprint 6","QA"
"Story","","Qualidade e Operacao","Testes unitarios das regras do programa","Cobrir escalonamento, gaps, simulacao e as regras do motor de insights.","QA-61 verde; nenhuma regra do programa sem teste.","5","Highest","qa;regra","Mashup","Sprint 5","QA"
"Story","","Qualidade e Operacao","Testes de qualidade embutidos na carga","Verificacoes que rodam a cada recarga: chave Hero, teto de 2%, meta zerada e grafia de subcategoria.","QA-07, QA-09, QA-21 e QA-27 verdes; log de carga com contagens.","5","Highest","qa;dados","Qlik","Sprint 3","Eng. de Dados"
"Story","","Qualidade e Operacao","Painel de auditoria de carga","Aba com QA_REJEITADOS e LOG_CARGA para o time de dados revisar a cada execucao.","QA-90 e QA-91 verdes.","3","Medium","qa;operacao","Qlik","Sprint 4","Eng. de Dados"
"Story","","Qualidade e Operacao","Teste de carga com volume de producao","18 M linhas de fato, 9.000 PDVs, 24 meses.","QA-80 a QA-84 dentro dos alvos.","5","High","qa;performance","Qlik","Sprint 6","QA"
"Story","","Qualidade e Operacao","Auditoria de acessibilidade","Contraste, cor como canal unico, navegacao por teclado e prefers-reduced-motion.","QA-68, QA-69 e QA-70 verdes.","3","Medium","qa;acessibilidade","Mashup","Sprint 7","QA"
"Story","","Qualidade e Operacao","Conducao do UAT com key users","5 key users (2 distribuidores, 2 executivos, 1 coordenador) percorrendo os criterios de aceite.","100% dos criterios verdes ou com defeito registrado e priorizado.","8","Highest","qa;uat","Ambos","Sprint 8","PO"
"Story","","Cockpit - Execucao Comercial","Fase 2 - Roteiro de visita exportavel","Selecao multipla nas Telas 2, 3 e 5 com exportacao XLSX/PDF e envio ao supervisor.","A definir no refinamento da Fase 2.","13","Low","fase2","Ambos","Backlog","A definir"
"Story","","Cockpit - Execucao Comercial","Fase 2 - Fechamento do laco de recomendacao","Marcar recomendacao como aceita/recusada e medir conversao no mes seguinte.","A definir no refinamento da Fase 2.","13","Low","fase2","Ambos","Backlog","A definir"
"Story","","Cockpit - Execucao Comercial","Fase 2 - Alertas proativos por e-mail e Teams","Disparo quando distribuidor entra em risco ou PDV Hero para de comprar.","A definir no refinamento da Fase 2.","8","Low","fase2","Ambos","Backlog","A definir"
"Story","","Cockpit - Execucao Comercial","Fase 2 - Simulador de cenario interativo","Sliders de PDVs, toneladas e conversoes com recalculo da premiacao em tempo real.","A definir no refinamento da Fase 2.","8","Low","fase2","Ambos","Backlog","A definir"
"Story","","Cockpit - Execucao Comercial","Fase 2 - Mapa cartografico com geometria de UF","Substituir a projecao simples por sn-map com camada oficial.","A definir no refinamento da Fase 2.","8","Low","fase2","Ambos","Backlog","A definir"
"Story","","Cockpit - Execucao Comercial","Fase 2 - Metas por canal e sub-regiao","Mudanca de grao em FACT_PPT_MENSAL e no layout de meta.","A definir no refinamento da Fase 2.","13","Low","fase2","Ambos","Backlog","A definir"
"Story","","Cockpit - Execucao Comercial","Fase 2 - Score preditivo de churn de PDV","Modelo de probabilidade de abandono em 60 dias. Depende do fechamento do laco.","A definir no refinamento da Fase 2.","13","Low","fase2","Ambos","Backlog","A definir"
"Story","","Cockpit - Execucao Comercial","Fase 2 - Extrato de premiacao paga","Tela de historico do apurado, pago e ajustado com o QVD de auditoria.","A definir no refinamento da Fase 2.","8","Low","fase2","Ambos","Backlog","A definir"
"Story","","Cockpit - Execucao Comercial","Fase 2 - Modo offline / PWA","Cache do roteiro do dia via service worker para rota sem sinal.","A definir no refinamento da Fase 2.","8","Low","fase2","Ambos","Backlog","A definir"
